user,event_id,event_type,repo,event_url,event_watchs,event_stars,event_forks,event_issues,event_isfork,event_projects,event_downloads,event_wiki,event_pages,event_discussions,date_,time,language_1,lang_count_1,language_2,lang_count_2,language_3,lang_count_3
pawelorzech,42273033521,PushEvent,Microblog,https://github.com/pawelorzech/Microblog,2.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,HTML,479789.0,,,,
mergify[bot],42273033536,PullRequestEvent,romrescue.org,https://github.com/bengosney/romrescue.org,3.0,3.0,1.0,4.0,False,True,True,True,False,False,2024-09-25,20:34:53,Python,160392.0,HTML,40453.0,SCSS,16364.0
imhoffd,42273033533,IssueCommentEvent,needs-reply,https://github.com/imhoffd/needs-reply,1.0,4.0,1.0,8.0,False,True,True,True,False,False,2024-09-25,20:34:53,TypeScript,5030.0,,,,
anusha7530,42273033513,IssuesEvent,Web3_Blockchain,https://github.com/Parshav14/Web3_Blockchain,1.0,0.0,0.0,5.0,False,True,True,True,False,False,2024-09-25,20:34:53,Solidity,94299.0,,,,
Rojoxt,42273033484,PushEvent,Zuricam-portal-administrativo,https://github.com/Rojoxt/Zuricam-portal-administrativo,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,Vue,97452.0,TypeScript,25017.0,SCSS,12621.0
marco-c,42273033469,PushEvent,bugbug,https://github.com/mozilla/bugbug,26.0,494.0,309.0,339.0,False,True,True,True,False,True,2024-09-25,20:34:53,Python,1190895.0,JavaScript,94955.0,HTML,21872.0
pentaho-whartman,42273033501,CreateEvent,pentaho-hadoop-shims,https://github.com/pentaho-whartman/pentaho-hadoop-shims,0.0,0.0,0.0,0.0,True,True,True,True,False,False,2024-09-25,20:34:53,Java,2200057.0,,,,
davidrsch,42273033492,IssuesEvent,box.lsp,https://github.com/Appsilon/box.lsp,6.0,3.0,0.0,7.0,False,True,True,True,True,False,2024-09-25,20:34:53,R,25883.0,CSS,887.0,,
Voidrafa,42273033445,PushEvent,Backend-Faculdade,https://github.com/Voidrafa/Backend-Faculdade,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,JavaScript,1910.0,HTML,1721.0,CSS,930.0
SSlam1234,42273033461,PushEvent,StatSlamGameData,https://github.com/SSlam1234/StatSlamGameData,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,,,,,,
trocker,42273033470,ForkEvent,autograd,https://github.com/HIPS/autograd,214.0,6950.0,907.0,178.0,False,True,True,True,False,True,2024-09-25,20:34:53,Python,280203.0,Shell,950.0,,
VaishnaviAwadan,42273033444,PushEvent,avactisproject,https://github.com/VaishnaviAwadan/avactisproject,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,Java,12946.0,,,,
Sewedo12,42273033406,PushEvent,HackBio-Internship,https://github.com/Sewedo12/HackBio-Internship,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:34:53,,,,,,
CullieM,42273033420,PushEvent,status,https://github.com/CullieM/status,1.0,0.0,0.0,0.0,False,True,True,True,True,False,2024-09-25,20:34:53,Markdown,13903.0,JSON,5119.0,YAML,1961.0
alxdolphin,42273033442,WatchEvent,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook,151.0,5177.0,540.0,13.0,False,True,True,True,False,False,2024-09-25,20:34:53,Jupyter Notebook,23010269.0,Python,160070.0,,
Martins6,42273033400,WatchEvent,graphite,https://github.com/ermongroup/graphite,9.0,57.0,25.0,1.0,False,True,True,True,False,False,2024-09-25,20:34:53,Python,45209.0,,,,
adv360proapp[bot],42273033390,PushEvent,Adv360-Pro-ZMK,https://github.com/AlexandrLesiv/Adv360-Pro-ZMK,0.0,0.0,0.0,0.0,True,True,True,True,False,False,2024-09-25,20:34:53,Shell,2701.0,Makefile,1157.0,CMake,255.0
antazoey,42273033386,IssuesEvent,ape,https://github.com/ApeWorX/ape,16.0,873.0,133.0,145.0,False,True,True,False,True,True,2024-09-25,20:34:53,Python,2167714.0,Solidity,16976.0,Vyper,9825.0
bdmendes,42273033343,PushEvent,bdmendes.github.io,https://github.com/bdmendes/bdmendes.github.io,1.0,0.0,0.0,0.0,False,False,True,False,True,False,2024-09-25,20:34:53,HTML,13882.0,CSS,1986.0,Ruby,677.0
imhoffd,42273033358,PullRequestEvent,needs-reply,https://github.com/imhoffd/needs-reply,1.0,4.0,1.0,8.0,False,True,True,True,False,False,2024-09-25,20:34:53,TypeScript,5030.0,,,,
pull-checklist[bot],42273033335,IssueCommentEvent,javafxTool,https://github.com/unknowIfGuestInDream/javafxTool,2.0,10.0,1.0,9.0,False,True,True,True,False,True,2024-09-25,20:34:53,Java,2980112.0,CSS,62634.0,Groovy,51743.0
nihao29,42273033324,PushEvent,ip2024,https://github.com/nihao29/ip2024,1.0,1.0,0.0,2.0,False,True,True,True,False,False,2024-09-25,20:34:53,Python,2240.0,,,,
dependabot[bot],42273033349,CreateEvent,donorbox_task_manager_challenge,https://github.com/Clever-M/donorbox_task_manager_challenge,1.0,0.0,0.0,9.0,False,True,True,True,False,False,2024-09-25,20:34:53,Ruby,31275.0,HTML,9161.0,Dockerfile,2196.0
Zadu01,42273033339,WatchEvent,MasterHamsterKombatBot,https://github.com/masterking32/MasterHamsterKombatBot,18.0,289.0,100.0,0.0,False,False,True,False,False,True,2024-09-25,20:34:53,Python,101836.0,JavaScript,1136.0,PHP,672.0
